Row,Column,Layer,Code,Start_Time[day],Stop_Time[day],Start_Head[m],Stop_Head[m]
107,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
121,49,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
122,49,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
123,49,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
124,49,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
125,49,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
126,49,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
127,49,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
128,49,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
129,49,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
130,49,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
131,49,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
132,49,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
133,49,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
58,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
59,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
60,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
61,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
62,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
63,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
64,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
65,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
66,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
67,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
68,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
69,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
70,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
71,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
72,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
73,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
74,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
75,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
76,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
77,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
78,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
79,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
80,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
81,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
82,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
83,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
84,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
85,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
86,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
87,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
88,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
89,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
90,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
91,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
92,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
93,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
94,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
95,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
96,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
97,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
98,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
99,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
100,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
101,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
102,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
103,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
104,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
105,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
106,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
107,50,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
108,50,1,2,0.00E+00,1.00E+00,0.00E+00,0.00E+00
120,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
121,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
122,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
123,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
124,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
125,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
126,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
127,50,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
128,50,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
129,50,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
130,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
131,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
132,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
133,50,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
49,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
51,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
52,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
53,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
54,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
55,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
56,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
57,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
58,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
59,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
60,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
61,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
62,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
63,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
64,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
65,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
66,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
67,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
68,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
69,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
70,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
71,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
72,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
73,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
74,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
75,51,1,4,0.00E+00,1.00E+00,0.00E+00,0.00E+00
76,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
77,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
78,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
79,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
80,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
81,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
82,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
83,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
84,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
85,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
86,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
87,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
88,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
89,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
90,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
91,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
92,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
93,51,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
