Well_Name,X-world_coor[m],Y-world_coord[m],Start_Time[day],Stop_Time[day],Rate[m^3/d],Number_of_Screen,Screen_Top1[m],Screen_Bot1[m]
VAZAR1233,2.9181037E+05,9.1047139E+06,0.0000000E+00,1.0000000E+00,-3.1309130E+00,1,6.2401670E+00,-3.5998584E+01
VAZAR1234,2.9190650E+05,9.1046864E+06,0.0000000E+00,1.0000000E+00,-4.9063400E-01,1,6.6305700E+00,-3.5256464E+01
VAZAR1235,2.9200262E+05,9.1046588E+06,0.0000000E+00,1.0000000E+00,-6.6480510E+00,1,7.4396660E+00,-3.6770615E+01
VAZAR1236,2.9209875E+05,9.1046312E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,8.0856310E+00,-4.8114498E+01
VAZAR1237,2.9219488E+05,9.1046037E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,8.4520670E+00,-5.5859149E+01
VAZAR1238,2.9229100E+05,9.1045761E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.6062370E+00,-6.5537768E+01
VAZAR1239,2.9238713E+05,9.1045486E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,2.4572430E+00,-7.0796690E+01
VAZAR1240,2.9248325E+05,9.1045210E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,2.3491000E-01,-7.3114317E+01
VAZAR1241,2.9257938E+05,9.1044934E+06,0.0000000E+00,1.0000000E+00,-3.9897690E+00,1,-1.1909410E+00,-7.5268855E+01
VAZAR1302,2.9130218E+05,9.1047556E+06,0.0000000E+00,1.0000000E+00,-4.0252300E-01,1,5.6481920E+00,-2.1100213E+01
VAZAR1303,2.9139830E+05,9.1047281E+06,0.0000000E+00,1.0000000E+00,-5.6695820E+00,1,5.3712170E+00,-2.3341583E+01
VAZAR1304,2.9149443E+05,9.1047005E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.1821530E+00,-2.6490402E+01
VAZAR1305,2.9159055E+05,9.1046729E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.1941010E+00,-3.0462119E+01
VAZAR1306,2.9168668E+05,9.1046454E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.5269300E+00,-3.3056415E+01
VAZAR1307,2.9178281E+05,9.1046178E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.0849050E+00,-3.4954622E+01
VAZAR1308,2.9187893E+05,9.1045902E+06,0.0000000E+00,1.0000000E+00,-6.0585630E+00,1,6.3204510E+00,-3.4386900E+01
VAZAR1309,2.9197506E+05,9.1045627E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.6621010E+00,-3.4797904E+01
VAZAR1310,2.9207119E+05,9.1045351E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,7.1928790E+00,-4.3393495E+01
VAZAR1311,2.9216731E+05,9.1045076E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.7859390E+00,-5.4451580E+01
VAZAR1312,2.9226344E+05,9.1044800E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,4.1001790E+00,-6.2358089E+01
VAZAR1313,2.9235956E+05,9.1044524E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,1.7149090E+00,-6.8120553E+01
VAZAR1314,2.9245569E+05,9.1044249E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,-2.7425400E-01,-7.2316213E+01
VAZAR1315,2.9255182E+05,9.1043973E+06,0.0000000E+00,1.0000000E+00,-5.2408980E+00,1,-1.1628370E+00,-7.4617294E+01
VAZAR1377,2.9137074E+05,9.1046319E+06,0.0000000E+00,1.0000000E+00,-4.2346000E-02,1,6.0079840E+00,-2.0170174E+01
VAZAR1378,2.9146686E+05,9.1046044E+06,0.0000000E+00,1.0000000E+00,-2.8649790E+00,1,6.0055240E+00,-2.2827469E+01
VAZAR1379,2.9156299E+05,9.1045768E+06,0.0000000E+00,1.0000000E+00,-5.0642920E+00,1,6.1881790E+00,-2.6918433E+01
VAZAR1380,2.9165912E+05,9.1045492E+06,0.0000000E+00,1.0000000E+00,-6.4832300E+00,1,6.0152460E+00,-3.0700934E+01
VAZAR1381,2.9175524E+05,9.1045217E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.3139230E+00,-3.3074691E+01
VAZAR1382,2.9185137E+05,9.1044941E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.2761560E+00,-3.3701273E+01
VAZAR1383,2.9194750E+05,9.1044666E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,6.4519820E+00,-3.5469232E+01
VAZAR1384,2.9204362E+05,9.1044390E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,7.0399720E+00,-3.9539273E+01
VAZAR1385,2.9213975E+05,9.1044114E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,7.2574710E+00,-4.9634399E+01
VAZAR1386,2.9223587E+05,9.1043839E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,5.2365780E+00,-5.8724982E+01
VAZAR1387,2.9233200E+05,9.1043563E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,1.6541460E+00,-6.6806724E+01
VAZAR1388,2.9242813E+05,9.1043287E+06,0.0000000E+00,1.0000000E+00,-7.2797590E+00,1,1.6412900E-01,-7.1703058E+01
