FeatureID;well;X;Y;Ele_L1;Ele_L2;Ele_L3;Ele_L4;Ele_L5;Ele_L6;Ele_L7;Ele_L8
117;;292579.3799;9104493.424;0.18319;-0.81681;-75.642998;-76.654999;-77.689003;-78.689003;-200;-251.059998
118;;292675.5061;9104465.861;0.066667;-0.93333;-76.123001;-77.124;-78.130997;-79.130997;-200;-263.109985
119;;292771.6323;9104438.297;0;-1.0018;-76.146004;-77.146004;-78.146004;-79.146004;-200;-288.75
120;;292867.7584;9104410.733;0;-1.1009;-76.141998;-77.141998;-78.141998;-79.141998;-200;-315.850006
121;;291878.933;9104590.244;7.526;6.526;-34.591999;-39.971001;-42.539001;-43.539001;-197.429993;-200.029999
122;;291975.0592;9104562.681;7.8715;6.8715;-35.007;-39.326;-41.887001;-42.887001;-199.110001;-207.389999
123;;292071.1853;9104535.117;8.4484;7.4484;-43.648998;-46.453999;-48.807999;-49.807999;-199.960007;-221.429993
124;;292167.3115;9104507.553;7.0902;6.0902;-54.756;-56.576;-58.569;-59.569;-200;-234.5
125;;292263.4377;9104479.989;5.4358;4.4358;-62.694;-64.001;-65.686997;-66.686997;-200;-241.910004
126;;292359.5638;9104452.426;3.0676;2.0676;-68.473;-69.651001;-71.042;-72.042;-200;-249.979996
127;;292455.69;9104424.862;1.0896;0.089594;-72.68;-73.763001;-74.941002;-75.941002;-200;-261.100006
128;;292551.8162;9104397.298;0.20814;-0.79186;-74.987999;-76.018997;-77.084;-78.084;-200;-271.540009
129;;292647.9424;9104369.734;0.051057;-0.94894;-75.998001;-77.005997;-78.023003;-79.023003;-200;-284.670013
130;;292744.0685;9104342.171;0;-1.0022;-76.324997;-77.324997;-78.324997;-79.324997;-200;-309.429993
131;;292840.1947;9104314.607;0;-1.0006;-76.348;-77.348;-78.348;-79.348;-200;-320.380005
132;;291851.3693;9104494.118;7.4781;6.4781;-33.903;-39.069;-41.775002;-42.775002;-199.800003;-211.850006
133;;291947.4954;9104466.554;7.6637;6.6637;-35.681;-39.763;-42.439999;-43.439999;-199.979996;-221.320007
134;;292043.6216;9104438.991;8.2752;7.2752;-39.775002;-42.645001;-45.231998;-46.231998;-200;-230.600006
135;;292139.7478;9104411.427;8.5339;7.5339;-47.744;-49.644001;-51.966;-52.966;-200;-240.940002
136;;292235.8739;9104383.863;6.5507;5.5507;-57.268002;-58.731998;-60.640999;-61.640999;-200;-252.520004
137;;292332.0001;9104356.299;2.9999;1.9999;-67.152;-68.363998;-69.802002;-70.802002;-200;-267.309998
138;;292428.1263;9104328.736;1.5271;0.52709;-72.066002;-73.167;-74.374;-75.374;-200;-280.929993
139;;292524.2524;9104301.172;0.14945;-0.85055;-75.688003;-76.706001;-77.744003;-78.744003;-200;-300.570007
140;;292620.3786;9104273.608;0;-1;-76.529999;-77.529999;-78.529999;-79.529999;-200;-309.630005
141;;292716.5048;9104246.045;0;-1.0035;-76.495003;-77.495003;-78.495003;-79.495003;-200;-333.779999
142;;292812.631;9104218.481;0;-1;-76.527;-77.527;-78.527;-79.527;-200;-342.399994
143;;291823.8055;9104397.992;8.132;7.132;-34.241001;-39.394001;-42.183998;-43.183998;-200;-228.690002
144;;291919.9317;9104370.428;8.0385;7.0385;-34.611;-38.988998;-41.807999;-42.807999;-200;-234.740005
145;;292016.0579;9104342.865;8.2492;7.2492;-39.402;-42.002998;-44.689999;-45.689999;-200;-245.820007
146;;292112.184;9104315.301;7.8168;6.8168;-44.807999;-46.643002;-49.119999;-50.119999;-200;-254.460007
147;;292208.3102;9104287.737;6.7913;5.7913;-52.935001;-54.473999;-56.581001;-57.581001;-200;-264.970001
148;;292304.4364;9104260.173;4.0661;3.0661;-63.918999;-65.208;-66.803001;-67.803001;-200;-282.48999
149;;292400.5625;9104232.61;0.62725;-0.37275;-73.223999;-74.303001;-75.463997;-76.463997;-200;-304.48999
