FeatureID,PartID,X,Y,Z,SLB_WHI_ID
11,1,292188.851566718,9105489.66108387,0,e42d21be-1cdf-4daf-bc46-394857454b98
11,1,292092.725397125,9105517.22481945,0,e42d21be-1cdf-4daf-bc46-394857454b98
11,1,292120.289132706,9105613.35098904,0,e42d21be-1cdf-4daf-bc46-394857454b98
12,1,292216.4153023,9105585.78725346,0,8e17b32d-17ac-48e4-a98a-db02a36b16d5
12,1,292312.541471894,9105558.22351788,0,8e17b32d-17ac-48e4-a98a-db02a36b16d5
12,1,292284.977736312,9105462.09734829,0,8e17b32d-17ac-48e4-a98a-db02a36b16d5
12,1,292188.851566718,9105489.66108387,0,8e17b32d-17ac-48e4-a98a-db02a36b16d5
12,1,292216.4153023,9105585.78725346,0,8e17b32d-17ac-48e4-a98a-db02a36b16d5
13,1,292312.541471894,9105558.22351788,0,ff6673c8-1915-466b-b33e-d22c2c03b59d
13,1,292408.667641488,9105530.6597823,0,ff6673c8-1915-466b-b33e-d22c2c03b59d
13,1,292381.103905906,9105434.5336127,0,ff6673c8-1915-466b-b33e-d22c2c03b59d
13,1,292284.977736312,9105462.09734829,0,ff6673c8-1915-466b-b33e-d22c2c03b59d
13,1,292312.541471894,9105558.22351788,0,ff6673c8-1915-466b-b33e-d22c2c03b59d
14,1,292408.667641488,9105530.6597823,0,a0e23a78-bc07-478a-979b-037e0a13a228
14,1,292504.793811082,9105503.09604672,0,a0e23a78-bc07-478a-979b-037e0a13a228
14,1,292477.2300755,9105406.96987712,0,a0e23a78-bc07-478a-979b-037e0a13a228
14,1,292381.103905906,9105434.5336127,0,a0e23a78-bc07-478a-979b-037e0a13a228
14,1,292408.667641488,9105530.6597823,0,a0e23a78-bc07-478a-979b-037e0a13a228
15,1,292504.793811082,9105503.09604672,0,eea82c55-3790-4f7a-8fbc-e3cfb99570bf
15,1,292600.919980675,9105475.53231114,0,eea82c55-3790-4f7a-8fbc-e3cfb99570bf
15,1,292573.356245094,9105379.40614154,0,eea82c55-3790-4f7a-8fbc-e3cfb99570bf
15,1,292477.2300755,9105406.96987712,0,eea82c55-3790-4f7a-8fbc-e3cfb99570bf
15,1,292504.793811082,9105503.09604672,0,eea82c55-3790-4f7a-8fbc-e3cfb99570bf
16,1,292600.919980675,9105475.53231114,0,e074e18c-a7da-4970-9e3e-48862971cda2
16,1,292697.046150269,9105447.96857555,0,e074e18c-a7da-4970-9e3e-48862971cda2
16,1,292669.482414688,9105351.84240596,0,e074e18c-a7da-4970-9e3e-48862971cda2
16,1,292573.356245094,9105379.40614154,0,e074e18c-a7da-4970-9e3e-48862971cda2
16,1,292600.919980675,9105475.53231114,0,e074e18c-a7da-4970-9e3e-48862971cda2
17,1,292697.046150269,9105447.96857555,0,78dbf3eb-4f94-400d-ad7b-8b01e9bbe11f
17,1,292793.172319863,9105420.40483997,0,78dbf3eb-4f94-400d-ad7b-8b01e9bbe11f
17,1,292765.608584281,9105324.27867038,0,78dbf3eb-4f94-400d-ad7b-8b01e9bbe11f
17,1,292669.482414688,9105351.84240596,0,78dbf3eb-4f94-400d-ad7b-8b01e9bbe11f
17,1,292697.046150269,9105447.96857555,0,78dbf3eb-4f94-400d-ad7b-8b01e9bbe11f
18,1,292793.172319863,9105420.40483997,0,8513114c-892f-49ff-a780-b4f8afa912da
18,1,292889.298489457,9105392.84110439,0,8513114c-892f-49ff-a780-b4f8afa912da
18,1,292861.734753875,9105296.7149348,0,8513114c-892f-49ff-a780-b4f8afa912da
18,1,292765.608584281,9105324.27867038,0,8513114c-892f-49ff-a780-b4f8afa912da
18,1,292793.172319863,9105420.40483997,0,8513114c-892f-49ff-a780-b4f8afa912da
19,1,292889.298489457,9105392.84110439,0,da99edc1-c1f7-4387-a5a2-8705c855f88c
19,1,292985.424659051,9105365.27736881,0,da99edc1-c1f7-4387-a5a2-8705c855f88c
19,1,292957.860923469,9105269.15119921,0,da99edc1-c1f7-4387-a5a2-8705c855f88c
19,1,292861.734753875,9105296.7149348,0,da99edc1-c1f7-4387-a5a2-8705c855f88c
19,1,292889.298489457,9105392.84110439,0,da99edc1-c1f7-4387-a5a2-8705c855f88c
20,1,292985.424659051,9105365.27736881,0,552cc818-efd0-4e62-81e0-b46a858967fc
20,1,293081.550828645,9105337.71363323,0,552cc818-efd0-4e62-81e0-b46a858967fc
20,1,293053.987093063,9105241.58746363,0,552cc818-efd0-4e62-81e0-b46a858967fc
20,1,292957.860923469,9105269.15119921,0,552cc818-efd0-4e62-81e0-b46a858967fc
20,1,292985.424659051,9105365.27736881,0,552cc818-efd0-4e62-81e0-b46a858967fc
21,1,293081.550828645,9105337.71363323,0,dd940ed9-64a5-4fc2-b99f-898f540de1d9
21,1,293177.676998238,9105310.14989764,0,dd940ed9-64a5-4fc2-b99f-898f540de1d9
21,1,293150.113262657,9105214.02372805,0,dd940ed9-64a5-4fc2-b99f-898f540de1d9
21,1,293053.987093063,9105241.58746363,0,dd940ed9-64a5-4fc2-b99f-898f540de1d9
21,1,293081.550828645,9105337.71363323,0,dd940ed9-64a5-4fc2-b99f-898f540de1d9
22,1,292092.725397125,9105517.22481945,0,ee3b9746-1a64-496a-a635-fddf72df5da9
22,1,292188.851566718,9105489.66108387,0,ee3b9746-1a64-496a-a635-fddf72df5da9
22,1,292161.287831137,9105393.53491427,0,ee3b9746-1a64-496a-a635-fddf72df5da9
22,1,292065.161661543,9105421.09864986,0,ee3b9746-1a64-496a-a635-fddf72df5da9
22,1,292092.725397125,9105517.22481945,0,ee3b9746-1a64-496a-a635-fddf72df5da9
23,1,292188.851566718,9105489.66108387,0,15b545dd-f5df-4a1f-af25-1fc32ab3c4fc
23,1,292284.977736312,9105462.09734829,0,15b545dd-f5df-4a1f-af25-1fc32ab3c4fc
23,1,292257.414000731,9105365.97117869,0,15b545dd-f5df-4a1f-af25-1fc32ab3c4fc
23,1,292161.287831137,9105393.53491427,0,15b545dd-f5df-4a1f-af25-1fc32ab3c4fc
23,1,292188.851566718,9105489.66108387,0,15b545dd-f5df-4a1f-af25-1fc32ab3c4fc
