FeatureID,PartID,X,Y,Z,SLB_WHI_ID,,,,,,FeatureID,PartID,X,Y
10,1,292724.6099,9105544.095,0,324936dd-c0fc-4949-ba6b-75bf68f4f2e2,,,,0,,12,1,292697.0462,9105447.969
10,1,292697.0462,9105447.969,0,324936dd-c0fc-4949-ba6b-75bf68f4f2e2,,,,0,,13,1,292697.0462,9105447.969
10,1,292600.92,9105475.532,0,324936dd-c0fc-4949-ba6b-75bf68f4f2e2,,,,0,,13,1,292793.1723,9105420.405
10,1,292628.4837,9105571.658,0,324936dd-c0fc-4949-ba6b-75bf68f4f2e2,,,,1,,13,1,292765.6086,9105324.279
11,1,292600.92,9105475.532,0,df80bdc5-681b-4e3f-92a7-76d4367c6a39,,,,0,,13,1,292669.4824,9105351.842
11,1,292697.0462,9105447.969,0,df80bdc5-681b-4e3f-92a7-76d4367c6a39,,,,0,,14,1,292820.7361,9105516.531
11,1,292669.4824,9105351.842,0,df80bdc5-681b-4e3f-92a7-76d4367c6a39,,,,0,,14,1,292916.8622,9105488.967
11,1,292573.3562,9105379.406,0,df80bdc5-681b-4e3f-92a7-76d4367c6a39,,,,0,,14,1,292889.2985,9105392.841
11,1,292600.92,9105475.532,0,df80bdc5-681b-4e3f-92a7-76d4367c6a39,,,,1,,14,1,292793.1723,9105420.405
12,1,292724.6099,9105544.095,0,d1c83edf-49ba-4175-a3f7-dee16689cc01,,,,0,,15,1,292793.1723,9105420.405
12,1,292820.7361,9105516.531,0,d1c83edf-49ba-4175-a3f7-dee16689cc01,,,,0,,15,1,292889.2985,9105392.841
12,1,292793.1723,9105420.405,0,d1c83edf-49ba-4175-a3f7-dee16689cc01,,,,0,,15,1,292861.7348,9105296.715
12,1,292697.0462,9105447.969,0,d1c83edf-49ba-4175-a3f7-dee16689cc01,,,,0,,15,1,292765.6086,9105324.279
12,1,292724.6099,9105544.095,0,d1c83edf-49ba-4175-a3f7-dee16689cc01,,,,1,,16,1,292916.8622,9105488.967
13,1,292697.0462,9105447.969,0,ac5942f8-57e5-4bf5-be8c-c1796ed845eb,,,,0,,16,1,293012.9884,9105461.404
13,1,292793.1723,9105420.405,0,ac5942f8-57e5-4bf5-be8c-c1796ed845eb,,,,0,,16,1,292985.4247,9105365.277
13,1,292765.6086,9105324.279,0,ac5942f8-57e5-4bf5-be8c-c1796ed845eb,,,,0,,16,1,292889.2985,9105392.841
13,1,292669.4824,9105351.842,0,ac5942f8-57e5-4bf5-be8c-c1796ed845eb,,,,0,,17,1,292889.2985,9105392.841
13,1,292697.0462,9105447.969,0,ac5942f8-57e5-4bf5-be8c-c1796ed845eb,,,,1,,17,1,292985.4247,9105365.277
14,1,292820.7361,9105516.531,0,c0def705-d6ec-4b42-9ffa-37e54c22ee23,,,,0,,17,1,292957.8609,9105269.151
14,1,292916.8622,9105488.967,0,c0def705-d6ec-4b42-9ffa-37e54c22ee23,,,,0,,17,1,292861.7348,9105296.715
14,1,292889.2985,9105392.841,0,c0def705-d6ec-4b42-9ffa-37e54c22ee23,,,,0,,18,1,293012.9884,9105461.404
14,1,292793.1723,9105420.405,0,c0def705-d6ec-4b42-9ffa-37e54c22ee23,,,,0,,18,1,293109.1146,9105433.84
14,1,292820.7361,9105516.531,0,c0def705-d6ec-4b42-9ffa-37e54c22ee23,,,,1,,18,1,293081.5508,9105337.714
15,1,292793.1723,9105420.405,0,b2dd7d81-2b36-4af9-bbde-404f58d08daf,,,,0,,18,1,292985.4247,9105365.277
15,1,292889.2985,9105392.841,0,b2dd7d81-2b36-4af9-bbde-404f58d08daf,,,,0,,19,1,292985.4247,9105365.277
15,1,292861.7348,9105296.715,0,b2dd7d81-2b36-4af9-bbde-404f58d08daf,,,,0,,19,1,293081.5508,9105337.714
15,1,292765.6086,9105324.279,0,b2dd7d81-2b36-4af9-bbde-404f58d08daf,,,,0,,19,1,293053.9871,9105241.587
15,1,292793.1723,9105420.405,0,b2dd7d81-2b36-4af9-bbde-404f58d08daf,,,,1,,19,1,292957.8609,9105269.151
16,1,292916.8622,9105488.967,0,f6fec4fc-e59f-40f4-a414-8c09e1bace4d,,,,0,,20,1,293109.1146,9105433.84
16,1,293012.9884,9105461.404,0,f6fec4fc-e59f-40f4-a414-8c09e1bace4d,,,,0,,20,1,293205.2407,9105406.276
16,1,292985.4247,9105365.277,0,f6fec4fc-e59f-40f4-a414-8c09e1bace4d,,,,0,,20,1,293177.677,9105310.15
16,1,292889.2985,9105392.841,0,f6fec4fc-e59f-40f4-a414-8c09e1bace4d,,,,0,,20,1,293081.5508,9105337.714
16,1,292916.8622,9105488.967,0,f6fec4fc-e59f-40f4-a414-8c09e1bace4d,,,,1,,21,1,293081.5508,9105337.714
17,1,292889.2985,9105392.841,0,9e40f635-9390-402e-b8ca-9ebac4bf5f0b,,,,0,,21,1,293177.677,9105310.15
17,1,292985.4247,9105365.277,0,9e40f635-9390-402e-b8ca-9ebac4bf5f0b,,,,0,,21,1,293150.1133,9105214.024
17,1,292957.8609,9105269.151,0,9e40f635-9390-402e-b8ca-9ebac4bf5f0b,,,,0,,21,1,293053.9871,9105241.587
17,1,292861.7348,9105296.715,0,9e40f635-9390-402e-b8ca-9ebac4bf5f0b,,,,0,,22,1,292092.7254,9105517.225
17,1,292889.2985,9105392.841,0,9e40f635-9390-402e-b8ca-9ebac4bf5f0b,,,,1,,22,1,292188.8516,9105489.661
18,1,293012.9884,9105461.404,0,7002d71c-f86d-4eb8-847d-4c81e0315294,,,,0,,22,1,292161.2878,9105393.535
18,1,293109.1146,9105433.84,0,7002d71c-f86d-4eb8-847d-4c81e0315294,,,,0,,22,1,292065.1617,9105421.099
18,1,293081.5508,9105337.714,0,7002d71c-f86d-4eb8-847d-4c81e0315294,,,,0,,23,1,292188.8516,9105489.661
18,1,292985.4247,9105365.277,0,7002d71c-f86d-4eb8-847d-4c81e0315294,,,,0,,23,1,292284.9777,9105462.097
18,1,293012.9884,9105461.404,0,7002d71c-f86d-4eb8-847d-4c81e0315294,,,,1,,23,1,292257.414,9105365.971
19,1,292985.4247,9105365.277,0,815d4260-8cdb-4b31-abcc-4216d1368705,,,,0,,23,1,292161.2878,9105393.535
